label,mean,median,variance,max,min,count
Intent detection event 'end' for userId '14',,,,,,0
Intent detection event 'end' for userId '19',,,,,,0
Intent detection event 'start' for userId '19',,,,,,0
request:01JTJZ2203ND3AFZ8NY3XPC2G0 cancelled,2111.9655889999995,2111.9655889999995,,2111.9655889999995,2111.9655889999995,1
request:01JTJZ2423EJ0BXBD4E31R3DGK processing,23.102264999994077,23.102264999994077,,23.102264999994077,23.102264999994077,1
request:01JTJZ2423EJ0BXBD4E31R3DGK ended,450.9988880000019,450.9988880000019,,450.9988880000019,450.9988880000019,1
llm.send:chat::09955 openai/gpt-4-turbo,860.3787430000084,860.3787430000084,,860.3787430000084,860.3787430000084,1
request:01JTJZ26YDA9C8NCCKH4PK02TF cancelled,8133.339428000007,8133.339428000007,,8133.339428000007,8133.339428000007,1
Intent detection event 'start' for userId '20',,,,,,0
request:01JTJZ2TADQ8YSSHQ7DTH6FZJB processing,5.878217000004952,5.878217000004952,,5.878217000004952,5.878217000004952,1
request:01JTJZ2TADQ8YSSHQ7DTH6FZJB ended,47.896974000002956,47.896974000002956,,47.896974000002956,47.896974000002956,1
request:01JTJZ37J486PP0EXYBA86RS81 cancelled,1835.5884640000004,1835.5884640000004,,1835.5884640000004,1835.5884640000004,1
request:01JTJZ39BFV8G2X8FJQ9RSVDW0 processing,15.49687499999709,15.49687499999709,,15.49687499999709,15.49687499999709,1
request:01JTJZ39BFV8G2X8FJQ9RSVDW0 ended,59.11307300000044,59.11307300000044,,59.11307300000044,59.11307300000044,1
llm.send:chat::MWDP6 openai/gpt-4-turbo,585.1803059999947,585.1803059999947,,585.1803059999947,585.1803059999947,1
Intent detection event 'end' for userId '22',,,,,,0
Intent detection event 'end' for userId '23',,,,,,0
Intent detection event 'end' for userId '24',,,,,,0
avatar end,6180.17918886959,5928.282058999874,7928404.843853006,16790.06756300002,2488.8093170002103,92
request:01JTJZ3EBKXNBJSQTD7XE451ZB cancelled,13124.598515999998,13124.598515999998,,13124.598515999998,13124.598515999998,1
llm.send:chat::5NGJS openai/gpt-4-turbo,644.2852389999898,644.2852389999898,,644.2852389999898,644.2852389999898,1
Intent detection event 'end' for userId '20',,,,,,0
request:01JTJZ3V5RGHX2R0BEPFF32BR5 cancelled,9977.245035999978,9977.245035999978,,9977.245035999978,9977.245035999978,1
request:01JTJZ44XKYMP7MFSX174Y6R8H processing,16.280890000023646,16.280890000023646,,16.280890000023646,16.280890000023646,1
request:01JTJZ44XKYMP7MFSX174Y6R8H ended,65.58294600000954,65.58294600000954,,65.58294600000954,65.58294600000954,1
Intent detection event 'end' for userId '25',,,,,,0
llm.send:chat::PCMCC openai/gpt-4-turbo,2394.8723450000107,2394.8723450000107,,2394.8723450000107,2394.8723450000107,1
request:01JTJZ49D27MQRQHZXWZA1Z9AS cancelled,5417.612335999991,5417.612335999991,,5417.612335999991,5417.612335999991,1
llm.send:chat::JN7DG openai/gpt-4-turbo,552.4435959999973,552.4435959999973,,552.4435959999973,552.4435959999973,1
Intent detection event 'end' for userId '27',,,,,,0
request:01JTJZB9ECA21JH3S9MR2X245R processing,19.690620000008494,19.690620000008494,,19.690620000008494,19.690620000008494,1
request:01JTJZB9ECA21JH3S9MR2X245R ended,48.698480000020936,48.698480000020936,,48.698480000020936,48.698480000020936,1
request:01JTJZB9GJ2NH14TC76PQMJ9GD cancelled,10943.455210000044,10943.455210000044,,10943.455210000044,10943.455210000044,1
llm.send:chat::06VH2 openai/gpt-4-turbo,611.0296790000284,611.0296790000284,,611.0296790000284,611.0296790000284,1
request:01JTJZBM6HRFKR2RQJGQKGKYP2 cancelled,11145.801775,11145.801775,,11145.801775,11145.801775,1
request:01JTJZBZ2W0YESN0R08BREP49D processing,12.905640999961179,12.905640999961179,,12.905640999961179,12.905640999961179,1
request:01JTJZBZ2W0YESN0R08BREP49D ended,53.48689399997238,53.48689399997238,,53.48689399997238,53.48689399997238,1
llm.send:chat::QV7P1 openai/gpt-4-turbo,707.7072340000304,707.7072340000304,,707.7072340000304,707.7072340000304,1
request:01JTJZC3RPHJ0EWBMP3CRDN1VA cancelled,36022.327781,36022.327781,,36022.327781,36022.327781,1
Intent detection event 'end' for userId '3',,,,,,0
llm.send:chat::ERM42 openai/gpt-4-turbo,689.823910999985,689.823910999985,,689.823910999985,689.823910999985,1
Intent detection event 'start' for userId '6',,,,,,0
request:01JTJZEF2F0RWZ32MWEHZ4P7FG processing,12.36374399997294,12.36374399997294,,12.36374399997294,12.36374399997294,1
request:01JTJZEF2F0RWZ32MWEHZ4P7FG ended,51.2894259999739,51.2894259999739,,51.2894259999739,51.2894259999739,1
request:01JTJZEF4P54WJQFAB3NWEE1X4 cancelled,1059.8956940000062,1059.8956940000062,,1059.8956940000062,1059.8956940000062,1
llm.send:chat::7SS19 openai/gpt-4-turbo,818.9518570000073,818.9518570000073,,818.9518570000073,818.9518570000073,1
request:01JTJZEG5TBRGBY2V49WYX7G0F cancelled,11447.966172000044,11447.966172000044,,11447.966172000044,11447.966172000044,1
Intent detection event 'end' for userId '8',,,,,,0
llm.send:chat::G94WW openai/gpt-4-turbo,1338.0236060000025,1338.0236060000025,,1338.0236060000025,1338.0236060000025,1
request:01JTJZEVBKED3GEGPDHCHJ9NH7 cancelled,11725.31177500001,11725.31177500001,,11725.31177500001,11725.31177500001,1
llm.send:chat::19WSW openai/gpt-4-turbo,490.18269200000213,490.18269200000213,,490.18269200000213,490.18269200000213,1
request:01JTJZF6T22TDDGNRFP53625XH cancelled,7842.583319000027,7842.583319000027,,7842.583319000027,7842.583319000027,1
request:01JTJZFEF63NEQJVRB6SXXH7RA cancelled,1337.869921000034,1337.869921000034,,1337.869921000034,1337.869921000034,1
request:01JTJZFFS2AGDPT1M2J2KD42BA processing,11.360754000023007,11.360754000023007,,11.360754000023007,11.360754000023007,1
request:01JTJZFFS2AGDPT1M2J2KD42BA ended,49.81476700003259,49.81476700003259,,49.81476700003259,49.81476700003259,1
request:01JTJZFJW5SPEBQZ3A8TNXF6DP cancelled,10850.159522000002,10850.159522000002,,10850.159522000002,10850.159522000002,1
request:01JTJZFXF7MJ4HZVV4EH9P3XXH cancelled,2562.487645999994,2562.487645999994,,2562.487645999994,2562.487645999994,1
request:01JTJZFZZCMEQ2XWM4Z44E0RT6 cancelled,6023.952159999986,6023.952159999986,,6023.952159999986,6023.952159999986,1
llm.send:chat::RW2HD openai/gpt-4-turbo,618.1267939999234,618.1267939999234,,618.1267939999234,618.1267939999234,1
Intent detection event 'end' for userId '6',,,,,,0
request:01JTJZHDTYVXQWP1PAFBVWGHBB processing,6.057123000035062,6.057123000035062,,6.057123000035062,6.057123000035062,1
request:01JTJZHDTYVXQWP1PAFBVWGHBB ended,53.2240799999563,53.2240799999563,,53.2240799999563,53.2240799999563,1
request:01JTJZHDXPQXNVQHX7PXVWNFKP cancelled,1115.0529069999466,1115.0529069999466,,1115.0529069999466,1115.0529069999466,1
llm.send:chat::RACS7 openai/gpt-4-turbo,536.0523119999561,536.0523119999561,,536.0523119999561,536.0523119999561,1
request:01JTJZHF0GX4SCGYNVVC59JDZ8 cancelled,10781.345714000054,10781.345714000054,,10781.345714000054,10781.345714000054,1
llm.send:chat::ZDFHQ openai/gpt-4-turbo,570.4113299999153,570.4113299999153,,570.4113299999153,570.4113299999153,1
request:01JTJZHSHF67HRTRV2FYZ259T8 cancelled,3397.673001999967,3397.673001999967,,3397.673001999967,3397.673001999967,1
request:01JTJZHWVP254RBQDARH7VFGVP cancelled,5606.999701999943,5606.999701999943,,5606.999701999943,5606.999701999943,1
request:01JTJZJ2AY6QPWCY6AKP3Z3AX0 processing,17.97979100001976,17.97979100001976,,17.97979100001976,17.97979100001976,1
request:01JTJZJ2AY6QPWCY6AKP3Z3AX0 ended,56.06244699994568,56.06244699994568,,56.06244699994568,56.06244699994568,1
avatar stream,7917.509785871848,7237.722155000083,7968450.5773794055,16784.222852000035,3719.728426999878,39
llm.send:chat::QH617 openai/gpt-4-turbo,575.4992039999925,575.4992039999925,,575.4992039999925,575.4992039999925,1
request:01JTJZJSW0BE4NVG3X5VSECXVS processing,5.289232999901287,5.289232999901287,,5.289232999901287,5.289232999901287,1
request:01JTJZJSW0BE4NVG3X5VSECXVS ended,37.93896399997175,37.93896399997175,,37.93896399997175,37.93896399997175,1
llm.send:chat::3VBG8 openai/gpt-4-turbo,465.7817320000613,465.7817320000613,,465.7817320000613,465.7817320000613,1
request:01JTJZJWJ3XA801ZSQD0YM3EYC cancelled,6852.342163000023,6852.342163000023,,6852.342163000023,6852.342163000023,1
llm.send:chat::CPMMF openai/gpt-4-turbo,1587.0535399999935,1587.0535399999935,,1587.0535399999935,1587.0535399999935,1
request:01JTJZK387JZETRDB8JER1DZ4J cancelled,9296.173501000041,9296.173501000041,,9296.173501000041,9296.173501000041,1
llm.send:chat::A4DBG openai/gpt-4-turbo,608.165185000049,608.165185000049,,608.165185000049,608.165185000049,1
request:01JTJZKCASNTWRDR0J8D8X9MFB cancelled,5401.559233000036,5401.559233000036,,5401.559233000036,5401.559233000036,1
request:01JTJZKHKMR4RHG7J93EMR18BC cancelled,1359.5837429999374,1359.5837429999374,,1359.5837429999374,1359.5837429999374,1
request:01JTJZKJY4R4K0JW31FTK4T9J3 processing,11.789294999907725,11.789294999907725,,11.789294999907725,11.789294999907725,1
request:01JTJZKJY4R4K0JW31FTK4T9J3 ended,51.00195599999279,51.00195599999279,,51.00195599999279,51.00195599999279,1
llm.send:chat::ANQH8 openai/gpt-4-turbo,600.8281529999804,600.8281529999804,,600.8281529999804,600.8281529999804,1
request:01JTJZKN58S580YFAWGZF5X2RY cancelled,3748.6853129999945,3748.6853129999945,,3748.6853129999945,3748.6853129999945,1
request:01JTJZKRTDD56PYSKTF6K9EABB cancelled,4817.13893799996,4817.13893799996,,4817.13893799996,4817.13893799996,1
llm.send:chat::7JNDX openai/gpt-4-turbo,566.5330079999985,566.5330079999985,,566.5330079999985,566.5330079999985,1
Intent detection event 'end' for userId '15',,,,,,0
Intent detection event 'start' for userId '15',,,,,,0
request:01JTJZM4MF6KQBQG0C11JAYNHG processing,8.939447999931872,8.939447999931872,,8.939447999931872,8.939447999931872,1
request:01JTJZM4MF6KQBQG0C11JAYNHG ended,42.356218999950215,42.356218999950215,,42.356218999950215,42.356218999950215,1
llm.send:chat::A1VPX openai/gpt-4-turbo,512.9586160000181,512.9586160000181,,512.9586160000181,512.9586160000181,1
Intent detection event 'end' for userId '16',,,,,,0
Intent detection event 'end' for userId '18',,,,,,0
request:01JTJZQTCFFPZV5VRMGY36NBWJ processing,11.201537000015378,11.201537000015378,,11.201537000015378,11.201537000015378,1
request:01JTJZQTCFFPZV5VRMGY36NBWJ ended,47.922629999928176,47.922629999928176,,47.922629999928176,47.922629999928176,1
Intent detection event 'end' for userId '21',,,,,,0
Intent detection event 'start' for userId '22',,,,,,0
request:01JTJZQWMXEZCBM7QP3CKE9Y8B cancelled,8237.100725999917,8237.100725999917,,8237.100725999917,8237.100725999917,1
llm.send:chat::T2CKT openai/gpt-4-turbo,828.7780430000275,828.7780430000275,,828.7780430000275,828.7780430000275,1
request:01JTJZR4P9RZ9WVA2Z50Z0RWTE cancelled,3277.673003999982,3277.673003999982,,3277.673003999982,3277.673003999982,1
llm.send:chat::SBXQM openai/gpt-4-turbo,624.8338630000362,624.8338630000362,,624.8338630000362,624.8338630000362,1
request:01JTJZR7WVBVMPW9Z0N9G3HKGJ cancelled,5140.344998999964,5140.344998999964,,5140.344998999964,5140.344998999964,1
llm.send:chat::JT4SY openai/gpt-4-turbo,887.3460379999597,887.3460379999597,,887.3460379999597,887.3460379999597,1
request:01JTJZRCXHYFPJJWBH16PMKC3F cancelled,6658.950196000049,6658.950196000049,,6658.950196000049,6658.950196000049,1
request:01JTJZRKDND5SRXP8N7SJYWZSM cancelled,11959.683512000018,11959.683512000018,,11959.683512000018,11959.683512000018,1
request:01JTJZRZ3FJ3XG6XE4YS3A1Z91 cancelled,4211.521135000046,4211.521135000046,,4211.521135000046,4211.521135000046,1
llm.send:chat::PW767 openai/gpt-4-turbo,675.6103100000182,675.6103100000182,,675.6103100000182,675.6103100000182,1
request:01JTJZS376J4YRPT7HT7NPWH7E cancelled,4353.9515169999795,4353.9515169999795,,4353.9515169999795,4353.9515169999795,1
request:01JTJZS7F9E2JT4SKR4765A74V processing,23.249171000090428,23.249171000090428,,23.249171000090428,23.249171000090428,1
request:01JTJZS7F9E2JT4SKR4765A74V ended,67.17510800005402,67.17510800005402,,67.17510800005402,67.17510800005402,1
request:01JTJZS9DNN9DCFQ23TD5PNVJB cancelled,3413.8048799999524,3413.8048799999524,,3413.8048799999524,3413.8048799999524,1
Intent detection event 'start' for userId '25',,,,,,0
Intent detection event 'end' for userId '26',,,,,,0
Intent detection event 'end' for userId '28',,,,,,0
Intent detection event 'end' for userId '29',,,,,,0
Intent detection event 'start' for userId '30',,,,,,0
Intent detection event 'end' for userId '30',,,,,,0
Intent detection event 'start' for userId '31',,,,,,0
Intent detection event 'end' for userId '31',,,,,,0
Intent detection event 'end' for userId '33',,,,,,0
Intent detection event 'end' for userId '35',,,,,,0
request:01JTJZXF1X16X5EZK0NMJRM56B processing,5.372052000020631,5.372052000020631,,5.372052000020631,5.372052000020631,1
request:01JTJZXF1X16X5EZK0NMJRM56B ended,45.51577499997802,45.51577499997802,,45.51577499997802,45.51577499997802,1
request:01JTJZXGEP3YXB1MS5SWVK1WK9 cancelled,4299.368226999999,4299.368226999999,,4299.368226999999,4299.368226999999,1
request:01JTJZXMN1XAK0BR78GR0K3373 cancelled,4295.292165999999,4295.292165999999,,4295.292165999999,4295.292165999999,1
llm.send:chat::Z16YC azure_openai/gpt-4o,314.94056500005536,314.94056500005536,,314.94056500005536,314.94056500005536,1
Intent detection event 'start' for userId '36',,,,,,0
request:01JTJZXRVBNJRWC7TJ24S6SJEK cancelled,9614.749313000008,9614.749313000008,,9614.749313000008,9614.749313000008,1
request:01JTJZY27V7VZH7DSR8275JYBV processing,6.841230000020005,6.841230000020005,,6.841230000020005,6.841230000020005,1
request:01JTJZY27V7VZH7DSR8275JYBV ended,49.43609600001946,49.43609600001946,,49.43609600001946,49.43609600001946,1
request:01JTJZY2Q37W32KZS605T49P2X processing,4.657446000026539,4.657446000026539,,4.657446000026539,4.657446000026539,1
request:01JTJZY2Q37W32KZS605T49P2X ended,41.06870100006927,41.06870100006927,,41.06870100006927,41.06870100006927,1
llm.send:chat::D289M openai/gpt-4-turbo,800.5050300000003,800.5050300000003,,800.5050300000003,800.5050300000003,1
request:01JTJZYA3RHANYV1V7YF21FR67 cancelled,7461.435090000043,7461.435090000043,,7461.435090000043,7461.435090000043,1
request:01JTJZYHCXW31G1K28YS51RDYV cancelled,2930.069857000024,2930.069857000024,,2930.069857000024,2930.069857000024,1
request:01JTJZYM8GWDMCVSJ5BT1TPEBV cancelled,6623.955037000007,6623.955037000007,,6623.955037000007,6623.955037000007,1
request:01JTJZYTQH9P9TD1K4FKWZ2CP6 cancelled,1272.6487690000795,1272.6487690000795,,1272.6487690000795,1272.6487690000795,1
llm.send:chat::K2ENK openai/gpt-4-turbo,569.9717759999912,569.9717759999912,,569.9717759999912,569.9717759999912,1
Intent detection event 'end' for userId '36',,,,,,0
Intent detection event 'start' for userId '37',,,,,,0
request:01JTJZYVZCXAXTNSFAAARZCWBC cancelled,92426.88415700011,92426.88415700011,,92426.88415700011,92426.88415700011,1
request:01JTK01P7SWAKS3B26V5SBQP3X cancelled,413.6038899999112,413.6038899999112,,413.6038899999112,413.6038899999112,1
request:01JTK01PMT66YEVYZGS76MHEDV cancelled,545.780110000167,545.780110000167,,545.780110000167,545.780110000167,1
request:01JTK01Q5W25F2JAK28393WZ54 cancelled,748.5725850001909,748.5725850001909,,748.5725850001909,748.5725850001909,1
request:01JTK01QXAZN9CYD2KV77B2DT9 cancelled,706.968186999904,706.968186999904,,706.968186999904,706.968186999904,1
request:01JTK01RKEEGPGH9G4SZ9FXAP5 cancelled,708.2227839999832,708.2227839999832,,708.2227839999832,708.2227839999832,1
request:01JTK01S9G7VP3TM20XE895XGE cancelled,817.4403639999218,817.4403639999218,,817.4403639999218,817.4403639999218,1
request:01JTK01T38CRAWB5ZMCA6B5HBD cancelled,374.25672699999996,374.25672699999996,,374.25672699999996,374.25672699999996,1
request:01JTK01TF0BFK71JP83ZZVCPHT cancelled,976.2359639999922,976.2359639999922,,976.2359639999922,976.2359639999922,1
request:01JTK01VDHCT11DQSS9EMVNKPS cancelled,801.2521140000317,801.2521140000317,,801.2521140000317,801.2521140000317,1
request:01JTK01W6NZ5QRF8W7X4ZPVX0V cancelled,379.4621210000478,379.4621210000478,,379.4621210000478,379.4621210000478,1
request:01JTK01WJJYNZF4BZZY96RC3PT cancelled,379.9934030000586,379.9934030000586,,379.9934030000586,379.9934030000586,1
request:01JTK01WYFB63R32GFWY9YG7YX cancelled,341.92455599992536,341.92455599992536,,341.92455599992536,341.92455599992536,1
Intent detection event 'end' for userId '38',,,,,,0
request:01JTK01X9685J4DMKT9VS1S090 cancelled,2488.627962999977,2488.627962999977,,2488.627962999977,2488.627962999977,1
request:01JTK01ZQ0CFYBN8H6GQ8SPK06 cancelled,1431.274199000094,1431.274199000094,,1431.274199000094,1431.274199000094,1
request:01JTK0213ME01HJRK7S1D0696P cancelled,698.2026519998908,698.2026519998908,,698.2026519998908,698.2026519998908,1
Intent detection event 'end' for userId '40',,,,,,0
Intent detection event 'end' for userId '42',,,,,,0
request:01JTK021SNG1BY3508EFNKZF4X cancelled,4827.221032000147,4827.221032000147,,4827.221032000147,4827.221032000147,1
request:01JTK026GJX10AWC5KNQ5TNX10 cancelled,7523.210404000012,7523.210404000012,,7523.210404000012,7523.210404000012,1
request:01JTK02DVP4RDKS0H2YWF419TT cancelled,1089.8726280000992,1089.8726280000992,,1089.8726280000992,1089.8726280000992,1
llm.send:chat::3Y160 openai/gpt-4-turbo,561.890524999937,561.890524999937,,561.890524999937,561.890524999937,1
Intent detection event 'end' for userId '43',,,,,,0
request:01JTK02EXPQJFF8MFGHQRKD5BE cancelled,4378.616105000023,4378.616105000023,,4378.616105000023,4378.616105000023,1
Intent detection event 'end' for userId '44',,,,,,0
Intent detection event 'end' for userId '37',,,,,,0
request:01JTK02K6P237X1A6ERRNYP9VR cancelled,8933.029133999953,8933.029133999953,,8933.029133999953,8933.029133999953,1
request:01JTK02VXX8G3HKHBYG5RHKBAZ cancelled,2231.3708349999506,2231.3708349999506,,2231.3708349999506,2231.3708349999506,1
request:01JTK02Y3QPV81PEEBEQPWSF8T cancelled,9392.42187900003,9392.42187900003,,9392.42187900003,9392.42187900003,1
Intent detection event 'end' for userId '45',,,,,,0
Intent detection event 'start' for userId '45',,,,,,0
request:01JTK03799WPJ1T9YXD9SA5Q2Y cancelled,11689.894084000029,11689.894084000029,,11689.894084000029,11689.894084000029,1
request:01JTK03JPKRK85HK4CBB2VVVVH cancelled,13442.687147000106,13442.687147000106,,13442.687147000106,13442.687147000106,1
request:01JTK03ZTR18THNW6CFHQ4BED5 cancelled,2810.9260849999264,2810.9260849999264,,2810.9260849999264,2810.9260849999264,1
llm.send:chat::AB7DZ openai/gpt-4-turbo,565.6237409999594,565.6237409999594,,565.6237409999594,565.6237409999594,1
llm.send:chat::HNY2Z openai/gpt-4-turbo,493.92469600006007,493.92469600006007,,493.92469600006007,493.92469600006007,1
